"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2000",17.59,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2001",17.69,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2002",17.9,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2003",17.65,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2004",18.13,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2005",18.12,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2006",18.13,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2007",18.3,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2008",18.09,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2009",18.01,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2010",17.4,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2011",17.09,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2012",16.79,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2013",16.23,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2014",15.6,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2015",15.64,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2016",15.73,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2017",15.64,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2018",15.31,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2019",15.01,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2020",14.63,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2000",7.72,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2001",8.23,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2002",8.37,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2003",8.96,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2004",9.06,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2005",9.05,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2006",8.73,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2007",8.33,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2008",8.24,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2009",7.51,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2010",8.17,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2011",7.94,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2012",7.53,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2013",7.56,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2014",7.07,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2015",7.13,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2016",7.09,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2017",7.29,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2018",6.93,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2019",7.1,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2020",6.42,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2000",11.12,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2001",11.22,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2002",10.44,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2003",10.85,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2004",10.67,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2005",10.28,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2006",10.01,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2007",9.55,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2008",9.7,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2009",8.97,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2010",9.56,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2011",8.49,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2012",8.34,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2013",8.43,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2014",7.81,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2015",8.23,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2016",8.1,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2017",7.95,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2018",7.98,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2019",7.85,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2020",7.22,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2000",16.41,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2001",15.99,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2002",16.41,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2003",16.88,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2004",16.47,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2005",16.71,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2006",16.26,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2007",17.03,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2008",16.24,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2009",15.24,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2010",15.47,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2011",15.69,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2012",15.48,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2013",15.58,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2014",15.57,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2015",15.38,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2016",15.18,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2017",15.29,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2018",15.39,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2019",15.19,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2020",13.77,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2000",11.8,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2001",11.84,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2002",11.48,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2003",11.89,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2004",11.93,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2005",11.57,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2006",11.58,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2007",11.78,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2008",11.15,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2009",10.45,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2010",10.53,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2011",10.24,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2012",9.95,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2013",9.5,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2014",9.12,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2015",9.26,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2016",9.47,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2017",9.45,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2018",9.32,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2019",8.84,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2020",7.88,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2000",9.52,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2001",9.78,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2002",9.69,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2003",10.67,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2004",9.59,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2005",8.95,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2006",10.37,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2007",9.46,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2008",8.86,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2009",8.5,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2010",8.52,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2011",7.55,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2012",6.65,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2013",6.93,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2014",6.15,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2015",5.73,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2016",5.93,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2017",5.5,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2018",5.48,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2019",4.87,
"DNK","AIREMISSION","CO2","TONNE_CAP","A","2020",4.39,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2000",10.55,
"FIN","AIREMISSION","CO2","TONNE_CAP","A","2001",11.68,
