Date,Open,High,Low,Close,Adj Close,Volume
2021-09-20,1.083598,1.247767,1.079941,1.236746,1.236746,3447
2021-09-21,1.236655,1.269591,1.221579,1.243052,1.243052,2750
2021-09-22,1.242960,1.279982,1.242416,1.252133,1.252133,693
2021-09-23,1.252292,1.254817,1.226579,1.238384,1.238384,563
2021-09-24,1.238281,1.238281,1.159197,1.166386,1.166386,802
2021-09-25,1.166482,1.176234,1.149315,1.154336,1.154336,661
2021-09-26,1.154116,1.201956,1.034483,1.144304,1.144304,2494
2021-09-27,1.144460,1.397076,1.139568,1.340469,1.340469,4255
2021-09-28,1.340470,1.342971,1.324248,1.329825,1.329825,1947
2021-09-29,1.329751,1.373630,1.304805,1.354232,1.354232,335
2021-09-30,1.353833,1.388025,0.952670,0.956223,0.956223,3386
2021-10-01,0.956296,0.986947,0.953615,0.985765,0.985765,3546
2021-10-02,0.985779,1.030045,0.977465,0.993341,0.993341,985
2021-10-03,0.993640,1.102593,0.931745,1.072158,1.072158,2737
2021-10-04,1.072130,1.072130,0.995411,0.996466,0.996466,2592
2021-10-05,0.996567,1.251302,0.973113,1.159463,1.159463,4135
2021-10-06,1.159499,1.159515,1.022215,1.022284,1.022284,4455
2021-10-07,1.022563,1.026287,1.004225,1.008036,1.008036,1077
2021-10-08,1.008064,1.011385,0.956103,0.956458,0.956458,454
2021-10-09,0.956407,0.957807,0.939996,0.939996,0.939996,438
2021-10-10,0.940155,0.942372,0.916654,0.917574,0.917574,275
2021-10-11,0.917137,0.944114,0.867919,0.869201,0.869201,828
2021-10-12,0.868969,0.874232,0.849211,0.865684,0.865684,939
2021-10-13,0.865921,0.887519,0.855253,0.883830,0.883830,360
2021-10-14,0.884121,0.892320,0.864155,0.865644,0.865644,547
2021-10-15,0.865674,0.866111,0.828671,0.829174,0.829174,766
2021-10-16,0.829058,0.833510,0.819152,0.821515,0.821515,391
2021-10-17,0.821141,0.823736,0.819407,0.822157,0.822157,44
2021-10-18,0.822159,0.831233,0.822159,0.827071,0.827071,66
2021-10-19,0.827385,0.846100,0.819324,0.825355,0.825355,78
2021-10-20,0.825658,0.835161,0.818891,0.831070,0.831070,123
2021-10-21,0.831247,0.832002,0.823235,0.824338,0.824338,179
2021-10-22,0.823969,0.849956,0.819605,0.831957,0.831957,104
2021-10-23,0.831820,0.846473,0.827862,0.845285,0.845285,108
2021-10-24,0.845214,0.845560,0.810096,0.810272,0.810272,336
2021-10-25,0.810221,0.870512,0.793393,0.853206,0.853206,1066
2021-10-26,0.853265,0.865413,0.850645,0.854628,0.854628,928
2021-10-27,0.854505,0.947789,0.850835,0.911101,0.911101,1068
2021-10-28,0.911098,0.933801,0.909653,0.933063,0.933063,1123
2021-10-29,0.933012,0.968825,0.933012,0.961151,0.961151,367
2021-10-30,0.961013,0.998316,0.940379,0.990899,0.990899,700
2021-10-31,0.990817,1.007433,0.989701,1.002117,1.002117,601
2021-11-01,1.002167,1.010255,0.991196,1.009637,1.009637,224
2021-11-02,1.009904,1.588606,1.002286,1.307570,1.307570,6605
2021-11-03,1.307843,1.308153,1.289427,1.300421,1.300421,6629
2021-11-04,1.300665,1.329970,1.295559,1.306035,1.306035,367
2021-11-05,1.305983,1.316724,1.289229,1.295124,1.295124,755
2021-11-06,1.295506,1.354470,1.282272,1.349995,1.349995,788
2021-11-07,1.349909,1.375756,1.249010,1.252343,1.252343,1248
2021-11-08,1.252437,1.258682,1.238382,1.252179,1.252179,963
2021-11-09,1.252207,1.331889,1.241454,1.331889,1.331889,904
2021-11-10,1.331299,1.332964,1.087272,1.095514,1.095514,2928
2021-11-11,1.096230,1.103286,1.093072,1.097570,1.097570,2101
2021-11-12,1.098897,1.107988,1.074159,1.085505,1.085505,148
2021-11-13,1.083930,1.092372,1.083197,1.090480,1.090480,131
2021-11-14,1.090530,1.180579,1.083916,1.180270,1.180270,793
2021-11-15,1.180109,1.203064,1.179331,1.181054,1.181054,943
